,Flickless GX,westside GX,grubinho GX,ara GX,Cloud GX
kamyk M8,6 6 +0,1 2 -1,7 5 +2,3 6 -3,5 4 +1
Proxh M8,6 3 +3,1 7 -6,5 3 +2,2 1 +1,4 2 +2
Minny M8,3 2 +1,5 1 +4,1 3 -2,1 8 -7,3 2 +1
ComeBack M8,2 4 -2,2 5 -3,3 5 -2,4 5 -1,4 2 +2
Veqaj M8,3 5 -2,6 1 +5,2 5 -3,4 4 +0,2 3 -1
