,grubinho GX,Cloud GX,Flickless GX,westside GX,ara GX
skuba NRG,0 1 -1,0 1 -1,0 1 -1,1 0 +1,1 0 +1
mada NRG,1 0 +1,,,,2 0 +2
brawk NRG,1 2 -1,,,1 1 +0,1 0 +1
s0m NRG,,1 1 +0,,,
Ethan NRG,2 0 +2,,,,1 0 +1
