,grubinho GX,Cloud GX,Flickless GX,westside GX,ara GX
skuba NRG,0 2 -2,0 1 -1,0 1 -1,1 0 +1,1 0 +1
mada NRG,1 1 +0,,,1 0 +1,4 0 +4
brawk NRG,1 2 -1,1 0 +1,,1 1 +0,1 0 +1
s0m NRG,0 1 -1,2 1 +1,1 0 +1,,1 2 -1
Ethan NRG,2 0 +2,,,0 2 -2,1 0 +1
