,grubinho GX,Cloud GX,Flickless GX,westside GX,ara GX
skuba NRG,4 2 +2,3 2 +1,4 3 +1,4 6 -2,6 0 +6
mada NRG,7 6 +1,7 5 +2,6 3 +3,7 3 +4,7 0 +7
brawk NRG,10 4 +6,7 4 +3,5 1 +4,8 4 +4,5 0 +5
s0m NRG,6 8 -2,5 3 +2,8 1 +7,4 4 +0,6 5 +1
Ethan NRG,2 4 -2,2 4 -2,4 4 +0,4 3 +1,3 1 +2
