,grubinho GX,Cloud GX,Flickless GX,westside GX,ara GX
skuba NRG,0 1 -1,0 0,,,
mada NRG,0 1 -1,,,1 0 +1,2 0 +2
brawk NRG,,1 0 +1,,,
s0m NRG,0 1 -1,1 0 +1,1 0 +1,,1 2 -1
Ethan NRG,,,,0 2 -2,
