,grubinho GX,Cloud GX,Flickless GX,westside GX,ara GX
skuba NRG,0 1 -1,0 0,1 0 +1,1 3 -2,2 0 +2
mada NRG,3 2 +1,2 2 +0,2 2 +0,5 0 +5,3 0 +3
brawk NRG,5 1 +4,5 0 +5,3 0 +3,2 0 +2,3 0 +3
s0m NRG,4 5 -1,3 1 +2,3 1 +2,2 0 +2,3 4 -1
Ethan NRG,0 1 -1,1 1 +0,2 1 +1,3 2 +1,1 0 +1
