,grubinho GX,Cloud GX,Flickless GX,westside GX,ara GX
skuba NRG,4 1 +3,3 2 +1,3 3 +0,3 3 +0,4 0 +4
mada NRG,4 4 +0,5 3 +2,4 1 +3,2 3 -1,4 0 +4
brawk NRG,5 3 +2,2 4 -2,2 1 +1,6 4 +2,2 0 +2
s0m NRG,2 3 -1,2 2 +0,5 0 +5,2 4 -2,3 1 +2
Ethan NRG,2 3 -1,1 3 -2,2 3 -1,1 1 +0,2 1 +1
