,HYUNMIN DRX,free1ng DRX,BeYN DRX,MaKo DRX,Flashback DRX
iZu T1,5 2 +3,5 2 +3,7 4 +3,4 4 +0,1 1 +0
stax T1,2 2 +0,5 5 +0,1 1 +0,1 3 -2,5 3 +2
Meteor T1,3 4 -1,6 3 +3,4 3 +1,2 3 -1,7 3 +4
carpe T1,3 4 -1,1 4 -3,2 2 +0,4 6 -2,1 0 +1
BuZz T1,7 9 -2,3 5 -2,5 3 +2,4 3 +1,4 1 +3
