,HYUNMIN DRX,free1ng DRX,BeYN DRX,MaKo DRX,Flashback DRX
iZu T1,3 1 +2,0 2 -2,,,2 3 -1
stax T1,2 1 +1,0 1 -1,,0 1 -1,1 1 +0
Meteor T1,0 4 -4,0 1 -1,1 2 -1,2 3 -1,4 0 +4
carpe T1,3 2 +1,0 2 -2,,1 2 -1,
BuZz T1,3 9 -6,3 1 +2,2 0 +2,4 2 +2,6 0 +6
