,HYUNMIN DRX,free1ng DRX,BeYN DRX,MaKo DRX,Flashback DRX
iZu T1,1 1 +0,,,,1 0 +1
stax T1,1 0 +1,,,0 1 -1,
Meteor T1,0 3 -3,,0 1 -1,1 2 -1,1 0 +1
carpe T1,0 2 -2,,,,
BuZz T1,0 3 -3,1 0 +1,2 0 +2,,2 0 +2
