,HYUNMIN DRX,free1ng DRX,BeYN DRX,MaKo DRX,Flashback DRX
iZu T1,2 2 +0,4 5 -1,6 0 +6,6 2 +4,1 8 -7
stax T1,6 5 +1,4 6 -2,2 1 +1,2 4 -2,1 5 -4
Meteor T1,6 6 +0,3 6 -3,5 6 -1,3 3 +0,6 0 +6
carpe T1,4 5 -1,3 6 -3,3 3 +0,2 5 -3,3 2 +1
BuZz T1,3 7 -4,5 5 +0,4 2 +2,4 5 -1,5 2 +3
