,HYUNMIN DRX,free1ng DRX,BeYN DRX,MaKo DRX,Flashback DRX
iZu T1,,,,,0 3 -3
stax T1,1 1 +0,0 1 -1,,,0 1 -1
Meteor T1,0 1 -1,,0 1 -1,1 1 +0,1 0 +1
carpe T1,3 0 +3,,,0 1 -1,
BuZz T1,1 3 -2,1 1 +0,,2 2 +0,2 0 +2
