,HYUNMIN DRX,free1ng DRX,BeYN DRX,MaKo DRX,Flashback DRX
iZu T1,4 3 +1,4 2 +2,1 3 -2,3 4 -1,3 3 +0
stax T1,5 5 +0,2 2 +0,2 0 +2,1 7 -6,1 3 -2
Meteor T1,1 5 -4,4 2 +2,0 4 -4,3 4 -1,5 3 +2
carpe T1,2 6 -4,3 1 +2,5 4 +1,6 3 +3,1 3 -2
BuZz T1,5 5 +0,5 1 +4,6 2 +4,2 7 -5,5 2 +3
