,HYUNMIN DRX,free1ng DRX,BeYN DRX,MaKo DRX,Flashback DRX
iZu T1,11 7 +4,13 9 +4,14 7 +7,13 10 +3,5 12 -7
stax T1,13 12 +1,11 13 -2,5 2 +3,4 14 -10,7 11 -4
Meteor T1,10 15 -5,13 11 +2,9 13 -4,8 10 -2,18 6 +12
carpe T1,9 15 -6,7 11 -4,10 9 +1,12 14 -2,5 5 +0
BuZz T1,15 21 -6,13 11 +2,15 7 +8,10 15 -5,14 5 +9
