,Dambi NS,Persia NS,margaret NS,Francis NS,Ivy NS
Governor TLN,1 2 -1,1 1 +0,1 2 -1,,0 1 -1
Crws TLN,,,,0 1 -1,
primmie TLN,0 1 -1,,1 1 +0,,
JitBoyS TLN,2 1 +1,1 1 +0,,1 0 +1,
ban TLN,,,0 2 -2,0 1 -1,
