,Dambi NS,Persia NS,margaret NS,Francis NS,Ivy NS
Governor TLN,3 2 +1,1 3 -2,1 7 -6,2 2 +0,1 4 -3
Crws TLN,5 1 +4,7 3 +4,2 5 -3,5 3 +2,5 1 +4
primmie TLN,3 4 -1,4 2 +2,2 1 +1,3 2 +1,4 3 +1
JitBoyS TLN,5 1 +4,2 3 -1,5 2 +3,3 3 +0,4 3 +1
ban TLN,2 5 -3,2 2 +0,6 2 +4,3 4 -1,1 4 -3
