,Dambi NS,Persia NS,margaret NS,Francis NS,Ivy NS
Governor TLN,5 3 +2,4 3 +1,2 3 -1,2 1 +1,3 2 +1
Crws TLN,3 2 +1,1 2 -1,4 1 +3,0 4 -4,0 3 -3
primmie TLN,6 2 +4,3 3 +0,2 1 +1,11 3 +8,3 0 +3
JitBoyS TLN,1 2 -1,4 2 +2,6 0 +6,2 0 +2,6 1 +5
ban TLN,1 3 -2,0 1 -1,1 2 -1,1 1 +0,2 4 -2
