,Dambi NS,Persia NS,margaret NS,Francis NS,Ivy NS
Governor TLN,1 0 +1,0 1 -1,0 2 -2,2 0 +2,
Crws TLN,1 0 +1,,0 2 -2,2 1 +1,1 0 +1
primmie TLN,0 2 -2,,,,
JitBoyS TLN,1 0 +1,,,1 0 +1,
ban TLN,1 1 +0,1 0 +1,1 1 +0,0 1 -1,
