,Dambi NS,Persia NS,margaret NS,Francis NS,Ivy NS
Governor TLN,2 1 +1,1 2 -1,1 1 +0,,
Crws TLN,0 1 -1,1 0 +1,1 0 +1,,0 1 -1
primmie TLN,0 1 -1,,,1 0 +1,
JitBoyS TLN,,1 0 +1,,,
ban TLN,0 1 -1,,1 0 +1,,0 1 -1
