,Dambi NS,Persia NS,margaret NS,Francis NS,Ivy NS
Governor TLN,11 10 +1,7 11 -4,6 12 -6,7 4 +3,5 10 -5
Crws TLN,10 7 +3,11 6 +5,8 8 +0,7 14 -7,5 7 -2
primmie TLN,11 9 +2,11 9 +2,11 5 +6,18 8 +10,13 5 +8
JitBoyS TLN,15 8 +7,9 9 +0,12 5 +7,7 5 +2,10 7 +3
ban TLN,4 9 -5,5 6 -1,9 7 +2,8 10 -2,7 13 -6
