,Killua TLN,thyy TLN,JitBoyS TLN,primmie TLN,Crws TLN
free1ng DRX,,0 1 -1,,,
MaKo DRX,,0 2 -2,,,
Flashback DRX,,,,,
HYUNMIN DRX,,,,1 0 +1,
Estrella DRX,,,,,
