,Killua TLN,thyy TLN,JitBoyS TLN,primmie TLN,Crws TLN
free1ng DRX,,,1 0 +1,1 0 +1,
MaKo DRX,2 0 +2,,,1 3 -2,1 0 +1
Flashback DRX,,0 1 -1,0 1 -1,1 0 +1,2 0 +2
HYUNMIN DRX,,1 0 +1,1 1 +0,1 0 +1,
Estrella DRX,0 2 -2,,,0 1 -1,0 1 -1
