,Killua TLN,thyy TLN,JitBoyS TLN,primmie TLN,Crws TLN
free1ng DRX,3 3 +0,0 1 -1,5 4 +1,1 3 -2,1 5 -4
MaKo DRX,2 3 -1,1 4 -3,1 2 -1,1 3 -2,1 4 -3
Flashback DRX,5 4 +1,4 3 +1,4 5 -1,5 3 +2,5 1 +4
HYUNMIN DRX,3 1 +2,6 2 +4,3 6 -3,5 5 +0,2 2 +0
Estrella DRX,0 4 -4,1 3 -2,0 3 -3,3 3 +0,5 3 +2
