,Killua TLN,thyy TLN,JitBoyS TLN,primmie TLN,Crws TLN
free1ng DRX,,2 1 +1,1 1 +0,4 2 +2,
MaKo DRX,2 1 +1,0 1 -1,2 0 +2,2 4 -2,1 3 -2
Flashback DRX,4 1 +3,1 4 -3,1 1 +0,1 1 +0,2 0 +2
HYUNMIN DRX,1 0 +1,2 0 +2,1 3 -2,3 2 +1,2 1 +1
Estrella DRX,0 2 -2,1 2 -1,,0 1 -1,0 2 -2
