,Killua TLN,thyy TLN,JitBoyS TLN,primmie TLN,Crws TLN
free1ng DRX,1 2 -1,3 4 -1,2 3 -1,6 3 +3,1 1 +0
MaKo DRX,1 4 -3,2 2 +0,2 1 +1,1 5 -4,1 4 -3
Flashback DRX,4 4 +0,2 7 -5,2 3 -1,2 1 +1,3 1 +2
HYUNMIN DRX,2 6 -4,5 2 +3,1 7 -6,3 2 +1,2 1 +1
Estrella DRX,3 4 -1,3 4 -1,3 1 +2,1 2 -1,2 2 +0
