,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
free1ng DRX,,2 Round 7 Killua JitBoyS Round 13 primmie Killua,,,,1 Round 18 JitBoyS,,,,,41,0,0
MaKo DRX,,1 Round 5 primmie JitBoyS,,,,,,,,,25,2,0
Estrella DRX,,1 Round 12 Crws primmie,1 Round 4 thyy Crws primmie,,,,,,,,38,3,0
HYUNMIN DRX,,5 Round 2 Killua primmie HYUNMIN Round 3 Killua thyy Round 12 JitBoyS thyy Round 14 thyy Killua Round 16 primmie thyy,,,,,,,,,51,0,0
Flashback DRX,,3 Round 3 primmie Crws Round 13 thyy Crws Round 14 Crws JitBoyS,5 Round 10 thyy JitBoyS Crws Round 18 primmie thyy Killua Round 19 primmie JitBoyS Killua Round 20 Crws primmie Killua Round 21 JitBoyS thyy primmie,,,1 Round 21 primmie,,,,,69,2,0
Crws TLN,,5 Round 3 HYUNMIN free1ng Round 7 MaKo free1ng Crws Round 13 free1ng Estrella Round 18 Estrella MaKo Round 19 free1ng Flashback,,,,1 Round 7 free1ng,,,,,46,3,0
Killua TLN,,3 Round 5 Flashback Estrella Round 11 Flashback HYUNMIN Round 22 free1ng Flashback,1 Round 10 Flashback free1ng MaKo,,,,,1 Round 10 MaKo free1ng Flashback,,,51,3,0
JitBoyS TLN,,4 Round 10 HYUNMIN Estrella Round 15 free1ng Flashback Round 16 HYUNMIN free1ng Round 18 HYUNMIN Flashback,1 Round 8 Flashback Estrella MaKo,1 Round 1 HYUNMIN free1ng Flashback MaKo,,,,,,,63,1,1
primmie TLN,,5 Round 6 HYUNMIN Flashback Round 9 MaKo HYUNMIN Round 11 Estrella free1ng Round 21 Estrella free1ng Round 22 MaKo Estrella,,,,,,,,,53,0,0
thyy TLN,,1 Round 9 Estrella Flashback,2 Round 16 Flashback Estrella MaKo Round 17 Estrella free1ng Flashback,,,,,,,,50,2,0
