,Killua TLN,thyy TLN,JitBoyS TLN,primmie TLN,Crws TLN
free1ng DRX,5 4 +1,4 2 +2,2 3 -1,6 1 +5,0 4 -4
MaKo DRX,2 3 -1,3 5 -2,4 0 +4,3 4 -1,2 3 -1
Flashback DRX,5 1 +4,1 6 -5,1 3 -2,3 5 -2,3 1 +2
HYUNMIN DRX,3 3 +0,5 2 +3,6 5 +1,4 3 +1,4 2 +2
Estrella DRX,2 1 +1,3 5 -2,3 2 +1,0 5 -5,5 1 +4
