,Killua TLN,thyy TLN,JitBoyS TLN,primmie TLN,Crws TLN
free1ng DRX,,1 1 +0,,1 2 -1,
MaKo DRX,,,2 0 +2,,0 2 -2
Flashback DRX,1 1 +0,0 2 -2,1 0 +1,,
HYUNMIN DRX,,1 0 +1,0 1 -1,0 1 -1,
Estrella DRX,,0 2 -2,,,0 1 -1
