,Killua TLN,thyy TLN,JitBoyS TLN,primmie TLN,Crws TLN
free1ng DRX,,1 0 +1,0 1 -1,2 0 +2,
MaKo DRX,0 1 -1,0 1 -1,,1 1 +0,0 1 -1
Flashback DRX,3 0 +3,1 1 +0,,0 1 -1,
HYUNMIN DRX,1 0 +1,,0 1 -1,2 1 +1,2 1 +1
Estrella DRX,,1 0 +1,,,
