,MiniBoo TH,RieNs TH,benjyfishy TH,Wo0t TH,Boo TH
grubinho GX,0 1 -1,,0 1 -1,,
westside GX,,0 1 -1,,1 1 +0,
Cloud GX,,,2 0 +2,0 1 -1,1 0 +1
Flickless GX,1 1 +0,,,,
ara GX,1 1 +0,0 1 -1,1 2 -1,0 2 -2,1 0 +1
