,MiniBoo TH,RieNs TH,benjyfishy TH,Wo0t TH,Boo TH
grubinho GX,9 10 -1,4 8 -4,5 4 +1,2 3 -1,3 3 +0
westside GX,4 8 -4,4 8 -4,4 2 +2,9 4 +5,3 6 -3
Cloud GX,4 5 -1,2 7 -5,4 7 -3,3 7 -4,5 2 +3
Flickless GX,4 5 -1,3 10 -7,3 6 -3,4 7 -3,0 4 -4
ara GX,2 9 -7,5 6 -1,3 8 -5,3 5 -2,5 3 +2
