,MiniBoo TH,RieNs TH,benjyfishy TH,Wo0t TH,Boo TH
grubinho GX,5 5 +0,2 5 -3,2 2 +0,2 1 +1,1 2 -1
westside GX,2 3 -1,3 4 -1,3 2 +1,5 3 +2,2 2 +0
Cloud GX,2 2 +0,1 5 -4,4 4 +0,1 3 -2,2 0 +2
Flickless GX,3 3 +0,1 7 -6,2 2 +0,2 2 +0,0 2 -2
ara GX,2 5 -3,3 2 +1,3 6 -3,2 3 -1,2 0 +2
