,MiniBoo TH,RieNs TH,benjyfishy TH,Wo0t TH,Boo TH
grubinho GX,0 3 -3,,,,
westside GX,,,,1 0 +1,
Cloud GX,0 2 -2,,,0 1 -1,
Flickless GX,,,,0 2 -2,0 1 -1
ara GX,0 2 -2,0 2 -2,,0 1 -1,1 0 +1
