,MiniBoo TH,RieNs TH,benjyfishy TH,Wo0t TH,Boo TH
grubinho GX,0 4 -4,,0 1 -1,,
westside GX,,0 1 -1,,2 1 +1,
Cloud GX,0 2 -2,,2 0 +2,0 2 -2,1 0 +1
Flickless GX,1 1 +0,,,0 2 -2,0 1 -1
ara GX,1 3 -2,0 3 -3,1 2 -1,0 3 -3,2 0 +2
