,CLZ ZETA,Dep ZETA,SugarZ3ro ZETA,TenTen ZETA,Xdll ZETA
dos9 BME,,2 0 +2,,,0 1 -1
Shiro BME,,,,0 1 -1,1 0 +1
Famouz BME,1 0 +1,1 0 +1,,1 2 -1,1 0 +1
NcSlasher BME,,,,0 1 -1,
BerserX BME,1 0 +1,0 1 -1,2 0 +2,0 2 -2,3 0 +3
