,CLZ ZETA,Dep ZETA,SugarZ3ro ZETA,TenTen ZETA,Xdll ZETA
dos9 BME,1 1 +0,1 6 -5,7 1 +6,5 3 +2,4 5 -1
Shiro BME,3 1 +2,2 4 -2,0 4 -4,5 4 +1,3 2 +1
Famouz BME,4 1 +3,5 2 +3,2 5 -3,2 5 -3,4 3 +1
NcSlasher BME,2 2 +0,3 3 +0,3 1 +2,3 6 -3,2 5 -3
BerserX BME,4 3 +1,3 2 +1,1 5 -4,2 1 +1,2 3 -1
