,CLZ ZETA,Dep ZETA,SugarZ3ro ZETA,TenTen ZETA,Xdll ZETA
dos9 BME,6 2 +4,6 4 +2,4 2 +2,6 3 +3,3 6 -3
Shiro BME,3 4 -1,3 3 +0,5 5 +0,4 3 +1,6 3 +3
Famouz BME,3 3 +0,3 6 -3,2 2 +0,6 4 +2,4 4 +0
NcSlasher BME,3 2 +1,6 2 +4,3 5 -2,2 3 -1,5 8 -3
BerserX BME,1 4 -3,3 2 +1,4 3 +1,4 5 -1,2 5 -3
