,CLZ ZETA,Dep ZETA,SugarZ3ro ZETA,TenTen ZETA,Xdll ZETA
dos9 BME,,2 2 +0,1 1 +0,3 2 +1,1 2 -1
Shiro BME,1 0 +1,2 3 -1,0 2 -2,5 1 +4,2 0 +2
Famouz BME,2 0 +2,2 3 -1,0 1 -1,2 4 -2,1 0 +1
NcSlasher BME,,,2 1 +1,1 1 +0,
BerserX BME,2 1 +1,1 3 -2,2 1 +1,2 3 -1,4 2 +2
