,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Famouz BME,,1 Round 13 CLZ TenTen,2 Round 10 TenTen Xdll CLZ Round 28 Dep Xdll CLZ,,,,,,,,42,1,0
BerserX BME,,3 Round 7 TenTen SugarZ3ro Round 17 Dep SugarZ3ro Round 18 Dep TenTen,,,,,,,,,31,0,0
NcSlasher BME,,4 Round 1 Xdll Dep Round 6 SugarZ3ro Xdll Round 8 Dep Xdll Round 9 CLZ SugarZ3ro,1 Round 7 Dep Xdll CLZ,,,,,,,,40,7,1
Shiro BME,,3 Round 3 Xdll SugarZ3ro Round 9 TenTen Xdll Round 21 TenTen Xdll,3 Round 16 TenTen Xdll SugarZ3ro Round 26 Xdll Dep CLZ Round 27 Xdll SugarZ3ro CLZ,,,,,1 Round 26 Dep CLZ Xdll,,,50,1,0
dos9 BME,,6 Round 6 CLZ Dep Round 8 SugarZ3ro TenTen Round 15 TenTen Xdll Round 16 Dep CLZ Round 27 TenTen Dep Round 28 SugarZ3ro TenTen,1 Round 12 TenTen Xdll CLZ,,,,,,,,57,1,0
Dep ZETA,,3 Round 1 Famouz dos9 Round 19 Shiro dos9 Round 23 BerserX dos9,,,,,,,,,38,0,0
CLZ ZETA,,1 Round 23 Shiro NcSlasher,,,,,,,,,45,0,2
SugarZ3ro ZETA,,5 Round 3 BerserX dos9 Round 7 Shiro NcSlasher Round 11 dos9 Famouz Round 14 BerserX NcSlasher Round 20 Shiro BerserX,,,,,,,,,40,2,1
Xdll ZETA,,5 Round 9 NcSlasher dos9 Round 17 NcSlasher BerserX Round 19 BerserX Famouz Round 24 NcSlasher dos9 Round 26 NcSlasher dos9,3 Round 4 NcSlasher dos9 Shiro Round 5 NcSlasher dos9 Shiro Round 18 Shiro Famouz BerserX,1 Round 25 BerserX Famouz dos9 NcSlasher,,,,2 Round 4 dos9 Shiro NcSlasher Round 25 dos9 NcSlasher Famouz,,,59,4,0
TenTen ZETA,,1 Round 20 Famouz NcSlasher,1 Round 2 NcSlasher BerserX dos9,1 Round 22 dos9 Famouz BerserX Shiro,,,,,,,42,0,0
