,CLZ ZETA,Dep ZETA,SugarZ3ro ZETA,TenTen ZETA,Xdll ZETA
dos9 BME,9 3 +6,11 12 -1,14 9 +5,15 9 +6,7 14 -7
Shiro BME,8 7 +1,6 11 -5,7 10 -3,10 11 -1,10 11 -1
Famouz BME,13 5 +8,11 10 +1,4 11 -7,10 14 -4,12 10 +2
NcSlasher BME,8 9 -1,10 10 +0,8 9 -1,6 13 -7,11 14 -3
BerserX BME,8 7 +1,8 8 +0,10 9 +1,9 12 -3,8 11 -3
