,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
Famouz BME,,3 Round 1 SugarZ3ro Dep Round 12 Dep TenTen Round 18 CLZ SugarZ3ro,1 Round 13 Xdll CLZ Dep,,,,,,,,56,1,0
BerserX BME,,3 Round 7 CLZ Dep Round 17 TenTen CLZ Round 21 CLZ Dep,,,,,,,,,37,0,0
NcSlasher BME,,3 Round 2 TenTen SugarZ3ro Round 8 Dep CLZ Round 14 Xdll SugarZ3ro,1 Round 10 Dep CLZ TenTen,,,,,,,,45,4,0
Shiro BME,,4 Round 1 TenTen CLZ Round 7 Xdll TenTen Round 12 CLZ Xdll Round 19 Dep TenTen,,,,,,,,,52,3,0
dos9 BME,,4 Round 14 CLZ TenTen Round 20 TenTen SugarZ3ro Round 21 Xdll SugarZ3ro Round 22 SugarZ3ro TenTen,1 Round 16 Dep Xdll SugarZ3ro,,,,,,,,52,1,0
Dep ZETA,,3 Round 3 Shiro BerserX Round 13 BerserX Shiro Round 22 dos9 Famouz,1 Round 14 Famouz NcSlasher dos9,,,,1 Round 22 dos9 Famouz,,,,42,0,1
CLZ ZETA,,1 Round 16 BerserX dos9,1 Round 5 NcSlasher BerserX Shiro,,,1 Round 16 dos9,,,,,37,0,1
SugarZ3ro ZETA,,3 Round 8 Famouz BerserX Round 9 BerserX Shiro Round 12 BerserX Famouz,,,,,1 Round 12 BerserX Famouz,,,,63,3,1
Xdll ZETA,,4 Round 8 dos9 NcSlasher Round 9 Famouz dos9 Round 10 Shiro NcSlasher Round 19 BerserX NcSlasher,,1 Round 11 Famouz BerserX NcSlasher dos9,,,,,,,73,5,0
TenTen ZETA,,1 Round 15 Shiro NcSlasher,3 Round 4 Shiro NcSlasher Famouz Round 6 Shiro NcSlasher Famouz Round 12 Shiro dos9 NcSlasher,,,,,,,,67,1,0
