,CLZ ZETA,Dep ZETA,SugarZ3ro ZETA,TenTen ZETA,Xdll ZETA
dos9 BME,,0 1 -1,1 0 +1,2 1 +1,1 1 +0
Shiro BME,1 0 +1,1 1 +0,,2 0 +2,1 0 +1
Famouz BME,1 0 +1,0 1 -1,,,
NcSlasher BME,,,1 1 +0,1 0 +1,
BerserX BME,1 0 +1,0 1 -1,0 1 -1,,0 1 -1
