,CLZ ZETA,Dep ZETA,SugarZ3ro ZETA,TenTen ZETA,Xdll ZETA
dos9 BME,2 0 +2,4 2 +2,3 6 -3,4 3 +1,0 3 -3
Shiro BME,2 2 +0,1 4 -3,2 1 +1,1 4 -3,1 6 -5
Famouz BME,6 1 +5,3 2 +1,0 4 -4,2 5 -3,4 3 +1
NcSlasher BME,3 5 -2,1 5 -4,2 3 -1,1 4 -3,4 1 +3
BerserX BME,3 0 +3,2 4 -2,5 1 +4,3 6 -3,4 3 +1
