,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
baddyG MKOI,,,,,,,,,,,18,3,0
MONSTEERR MKOI,,1 Round 6 Avez marteen,,,,,,,,,44,0,0
flyuh MKOI,,1 Round 3 saadhak SUYGETSU,,,,,,,,,34,3,0
Filu MKOI,,1 Round 15 Elite SUYGETSU,,1 Round 4 marteen SUYGETSU saadhak Elite,,,,,,,47,0,0
nataNk MKOI,,2 Round 3 marteen Elite Round 12 Avez SUYGETSU,1 Round 9 marteen Avez SUYGETSU,,,,,,,,63,0,0
saadhak KC,,2 Round 9 flyuh nataNk Round 13 MONSTEERR flyuh,,,,,1 Round 9 flyuh nataNk,,,,45,2,1
SUYGETSU KC,,3 Round 9 Filu baddyG Round 12 flyuh MONSTEERR Round 13 baddyG Filu,1 Round 6 Filu nataNk MONSTEERR,,,,,,,,52,0,0
Avez KC,,5 Round 1 flyuh baddyG Round 3 Filu flyuh Round 8 MONSTEERR Filu Round 14 flyuh MONSTEERR Round 16 flyuh Filu,3 Round 2 Filu flyuh nataNk Round 15 nataNk MONSTEERR flyuh Round 17 flyuh Filu nataNk,,,,,,,,91,1,1
marteen KC,,3 Round 6 flyuh baddyG Round 14 nataNk baddyG Round 16 baddyG nataNk,1 Round 12 Filu baddyG nataNk,,,,,,,,73,1,0
Elite KC,,1 Round 8 baddyG flyuh,1 Round 10 MONSTEERR flyuh baddyG,,,,,,,,32,0,0
