,marteen KC,SUYGETSU KC,Avez KC,saadhak KC,Elite KC
flyuh MKOI,,,,,
Filu MKOI,1 2 -1,1 0 +1,1 0 +1,1 0 +1,
nataNk MKOI,,,,,
MONSTEERR MKOI,0 1 -1,,,,
baddyG MKOI,0 2 -2,,,,
