,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
baddyG MKOI,,,,,,,,,,,38,1,0
MONSTEERR MKOI,,2 Round 8 Avez Elite Round 10 Avez saadhak,,1 Round 5 Avez SUYGETSU Elite saadhak,,,,,,,67,1,0
flyuh MKOI,,1 Round 6 Elite marteen,,,,,,,,,38,3,0
Filu MKOI,,1 Round 3 Avez saadhak,1 Round 1 Avez saadhak Elite,,,,,,,,38,0,0
nataNk MKOI,,1 Round 13 marteen Avez,,,,,,,,,35,1,0
saadhak KC,,1 Round 13 nataNk flyuh,1 Round 14 baddyG nataNk MONSTEERR,,,,1 Round 14 nataNk MONSTEERR,,,,72,0,2
SUYGETSU KC,,1 Round 1 MONSTEERR Filu,,1 Round 3 flyuh Filu nataNk MONSTEERR,,2 Round 1 Filu Round 13 baddyG,,,,,59,0,1
Avez KC,,2 Round 4 baddyG nataNk Round 11 flyuh Filu,3 Round 7 Filu nataNk flyuh Round 12 baddyG flyuh Filu Round 15 Filu MONSTEERR baddyG,,,,,,,,103,0,1
marteen KC,,3 Round 10 nataNk flyuh Round 11 MONSTEERR baddyG Round 13 MONSTEERR Filu,1 Round 2 nataNk MONSTEERR baddyG,1 Round 9 flyuh Filu baddyG nataNk,,,,,,,60,0,0
Elite KC,,3 Round 1 nataNk flyuh Round 6 baddyG MONSTEERR Round 10 Filu baddyG,,,,,,,,,54,0,0
