,marteen KC,SUYGETSU KC,Avez KC,saadhak KC,Elite KC
flyuh MKOI,,1 0 +1,0 2 -2,1 0 +1,
Filu MKOI,2 3 -1,0 2 -2,1 1 +0,1 0 +1,0 1 -1
nataNk MKOI,0 1 -1,1 0 +1,0 1 -1,,
MONSTEERR MKOI,,1 1 +0,1 0 +1,,
baddyG MKOI,,,,1 0 +1,
