,marteen KC,SUYGETSU KC,Avez KC,saadhak KC,Elite KC
flyuh MKOI,3 6 -3,4 6 -2,7 15 -8,3 9 -6,7 7 +0
Filu MKOI,10 10 +0,8 9 -1,7 15 -8,10 4 +6,4 6 -2
nataNk MKOI,6 11 -5,8 3 +5,5 13 -8,5 8 -3,5 4 +1
MONSTEERR MKOI,8 10 -2,4 11 -7,6 6 +0,5 3 +2,11 7 +4
baddyG MKOI,5 14 -9,5 7 -2,4 7 -3,6 6 +0,4 9 -5
