,marteen KC,SUYGETSU KC,Avez KC,saadhak KC,Elite KC
flyuh MKOI,0 1 -1,0 1 -1,0 1 -1,,
Filu MKOI,2 0 +2,1 0 +1,1 2 -1,0 1 -1,0 1 -1
nataNk MKOI,1 0 +1,,,,1 0 +1
MONSTEERR MKOI,0 1 -1,,,,
baddyG MKOI,,,0 1 -1,,
