,marteen KC,SUYGETSU KC,Avez KC,saadhak KC,Elite KC
flyuh MKOI,0 1 -1,1 1 +0,2 7 -5,1 2 -1,2 3 -1
Filu MKOI,2 3 -1,5 5 +0,1 6 -5,4 0 +4,2 0 +2
nataNk MKOI,2 4 -2,4 1 +3,3 5 -2,0 3 -3,2 0 +2
MONSTEERR MKOI,2 5 -3,0 3 -3,2 3 -1,2 1 +1,1 1 +0
baddyG MKOI,3 6 -3,0 2 -2,0 1 -1,1 2 -1,0 4 -4
