,marteen KC,SUYGETSU KC,Avez KC,saadhak KC,Elite KC
flyuh MKOI,,,0 1 -1,,
Filu MKOI,1 0 +1,1 3 -2,1 1 +0,,
nataNk MKOI,0 1 -1,1 0 +1,2 2 +0,,
MONSTEERR MKOI,0 1 -1,,0 1 -1,,
baddyG MKOI,0 1 -1,,,,
