,marteen KC,SUYGETSU KC,Avez KC,saadhak KC,Elite KC
flyuh MKOI,1 3 -2,1 3 -2,1 4 -3,1 2 -1,4 2 +2
Filu MKOI,3 2 +1,1 2 -1,2 7 -5,2 3 -1,1 1 +0
nataNk MKOI,3 3 +0,0 2 -2,1 3 -2,0 4 -4,1 2 -1
MONSTEERR MKOI,0 4 -4,1 4 -3,3 1 +2,2 1 +1,3 3 +0
baddyG MKOI,2 3 -1,2 2 +0,0 3 -3,1 2 -1,0 4 -4
