,trent G2,JonahP G2,valyn G2,jawgemo G2,leaf G2
Viva XLG,1 3 -2,1 3 -2,1 0 +1,2 3 -1,2 5 -3
happywei XLG,2 1 +1,3 3 +0,1 1 +0,1 3 -2,1 6 -5
coconut XLG,2 2 +0,1 4 -3,3 0 +3,1 4 -3,0 4 -4
Midi XLG,1 4 -3,1 1 +0,1 1 +0,0 5 -5,2 4 -2
Rarga XLG,0 6 -6,4 2 +2,3 3 +0,3 2 +1,0 3 -3
