,trent G2,JonahP G2,valyn G2,jawgemo G2,leaf G2
Viva XLG,1 2 -1,1 0 +1,3 3 +0,4 2 +2,0 10 -10
happywei XLG,3 5 -2,3 4 -1,5 0 +5,3 4 -1,6 0 +6
coconut XLG,3 1 +2,0 5 -5,2 5 -3,2 3 -1,0 2 -2
Midi XLG,3 1 +2,4 3 +1,1 2 -1,4 5 -1,2 4 -2
Rarga XLG,5 4 +1,4 2 +2,4 4 +0,3 4 -1,4 4 +0
