,trent G2,JonahP G2,valyn G2,jawgemo G2,leaf G2
Viva XLG,,,,2 0 +2,
happywei XLG,1 0 +1,2 1 +1,,1 1 +0,
coconut XLG,,,,,
Midi XLG,,,,0 1 -1,
Rarga XLG,0 2 -2,2 0 +2,2 2 +0,2 1 +1,1 0 +1
