,trent G2,JonahP G2,valyn G2,jawgemo G2,leaf G2
Viva XLG,2 5 -3,2 3 -1,4 3 +1,6 5 +1,2 15 -13
happywei XLG,5 6 -1,6 7 -1,6 1 +5,4 7 -3,7 6 +1
coconut XLG,5 3 +2,1 9 -8,5 5 +0,3 7 -4,0 6 -6
Midi XLG,4 5 -1,5 4 +1,2 3 -1,4 10 -6,4 8 -4
Rarga XLG,5 10 -5,8 4 +4,7 7 +0,6 6 +0,4 7 -3
