,trent G2,JonahP G2,valyn G2,jawgemo G2,leaf G2
Viva XLG,,,,,
happywei XLG,0 1 -1,1 0 +1,,0 2 -2,0 3 -3
coconut XLG,,,,,0 1 -1
Midi XLG,,,1 0 +1,,
Rarga XLG,0 2 -2,1 1 +0,0 1 -1,1 1 +0,
