,trent G2,JonahP G2,valyn G2,jawgemo G2,leaf G2
Viva XLG,,,,,
happywei XLG,1 0 +1,,,0 3 -3,1 0 +1
coconut XLG,,,,,
Midi XLG,,,,0 1 -1,
Rarga XLG,,1 0 +1,,0 2 -2,
