,icy EG,yay EG,supamen EG,Derrek EG,NaturE EG
valyn G2,,0 1 -1,,1 0 +1,
JonahP G2,2 0 +2,0 1 -1,,,0 1 -1
jawgemo G2,2 0 +2,2 2 +0,0 2 -2,,1 0 +1
trent G2,,0 3 -3,,,
BABYBAY G2,,1 1 +0,2 0 +2,,0 2 -2
