,icy EG,yay EG,supamen EG,Derrek EG,NaturE EG
valyn G2,4 0 +4,3 3 +0,5 2 +3,4 0 +4,1 3 -2
JonahP G2,3 2 +1,2 2 +0,2 2 +0,3 3 +0,5 2 +3
jawgemo G2,0 3 -3,2 3 -1,2 1 +1,3 1 +2,4 3 +1
trent G2,3 2 +1,4 4 +0,1 0 +1,3 1 +2,2 3 -1
BABYBAY G2,4 0 +4,3 1 +2,4 1 +3,2 3 -1,2 2 +0
