,icy EG,yay EG,supamen EG,Derrek EG,NaturE EG
valyn G2,,2 2 +0,2 0 +2,1 0 +1,1 0 +1
JonahP G2,3 1 +2,4 2 +2,0 1 -1,1 0 +1,0 1 -1
jawgemo G2,3 2 +1,5 2 +3,1 3 -2,,1 0 +1
trent G2,,1 5 -4,,,
BABYBAY G2,,1 3 -2,3 0 +3,0 3 -3,1 3 -2
