,icy EG,yay EG,supamen EG,Derrek EG,NaturE EG
valyn G2,,1 1 +0,1 0 +1,,1 0 +1
JonahP G2,1 0 +1,3 0 +3,0 1 -1,,
jawgemo G2,1 0 +1,2 0 +2,,,
trent G2,,0 1 -1,,,
BABYBAY G2,,0 2 -2,,0 2 -2,
