,icy EG,yay EG,supamen EG,Derrek EG,NaturE EG
valyn G2,,0 1 -1,,,
JonahP G2,,0 1 -1,,,
jawgemo G2,,0 2 -2,,,
trent G2,,0 2 -2,,,
BABYBAY G2,,,1 0 +1,1 0 +1,2 0 +2
