,icy EG,yay EG,supamen EG,Derrek EG,NaturE EG
valyn G2,,1 0 +1,1 0 +1,,
JonahP G2,0 1 -1,1 1 +0,,1 0 +1,
jawgemo G2,0 2 -2,1 0 +1,1 1 +0,,
trent G2,,1 1 +0,,,
BABYBAY G2,,,1 0 +1,0 1 -1,1 1 +0
